algorithm,n,length,time
hash,7500,44,22.2659
hash,7500,44,22.0975
hash,7500,44,11.0864
hash,7600,44,9.5409
hash,7600,44,11.1923
hash,7600,44,11.2497
hash,7600,44,11.1774
hash,7600,44,11.1555
hash,7700,44,10.2162
hash,7700,44,10.5856
hash,7700,44,10.7399
hash,7700,44,11.9414
hash,7700,44,11.9192
hash,7800,44,10.3644
hash,7800,44,10.8399
hash,7800,44,10.7963
hash,7800,44,10.7799
hash,7800,44,11.1663
hash,7900,44,10.5686
hash,7900,44,10.9615
hash,7900,44,10.9076
hash,7900,44,10.9201
hash,7900,44,11.3419
hash,8000,44,10.8066
hash,8000,44,16.0311
hash,8000,44,19.0031
hash,8000,44,19.056
hash,8000,44,11.3308
hash,8100,44,10.9337
hash,8100,44,12.8259
hash,8100,44,12.8788
hash,8100,44,12.7823
hash,8100,44,12.7653
hash,8200,44,11.462
hash,8200,44,11.6805
hash,8200,44,29.4536
hash,8200,44,20.383
hash,8200,44,16.8826
hash,8300,44,11.5046
hash,8300,44,11.9013
hash,8300,44,11.9192
hash,8300,44,11.8919
hash,8300,44,11.8873
hash,8400,44,11.6292
hash,8400,44,12.7354
hash,8400,44,13.6129
hash,8400,44,13.6219
hash,8400,44,13.5526
hash,8500,44,11.9473
hash,8500,44,17.0935
hash,8500,44,17.2345
hash,8500,44,17.2448
hash,8500,44,17.567
hash,8600,44,27.8601
hash,8600,44,14.1295
hash,8600,44,12.7128
hash,8600,44,12.6911
hash,8600,44,12.7415
hash,8700,44,27.7269
hash,8700,44,32.1956
hash,8700,44,18.3219
hash,8700,44,18.6283
hash,8700,44,33.8765
hash,8800,44,12.661
hash,8800,44,12.7401
hash,8800,44,12.8214
hash,8800,44,12.8974
hash,8800,44,13.7533
hash,8900,44,12.7503
hash,8900,44,15.3852
hash,8900,44,14.4777
hash,8900,44,14.1343
hash,8900,44,34.8046
hash,9000,44,12.6004
hash,9000,44,13.0297
hash,9000,44,13.0391
hash,9000,44,13.4863
hash,9000,44,14.5098
hash,9100,44,33.1497
hash,9100,44,39.1877
hash,9100,44,40.5575
hash,9100,44,14.8859
hash,9100,44,17.1872
hash,9200,44,13.0603
hash,9200,44,14.7872
hash,9200,44,17.4559
hash,9200,44,17.49
hash,9200,44,17.4256
hash,9300,44,14.3551
hash,9300,44,15.5856
hash,9300,44,15.4614
hash,9300,44,15.5586
hash,9300,44,14.8463
hash,9400,44,13.897
hash,9400,44,14.4464
hash,9400,44,14.475
hash,9400,44,14.6352
hash,9400,44,14.4955
hash,9500,44,14.432
hash,9500,44,14.9612
hash,9500,44,15.128
hash,9500,44,17.1884
hash,9500,44,16.3284
hash,9600,44,14.3038
hash,9600,44,18.2024
hash,9600,44,18.2168
hash,9600,44,18.213
hash,9600,44,31.8913
hash,9700,44,15.0551
hash,9700,44,17.7063
hash,9700,44,22.6549
hash,9700,44,22.6635
hash,9700,44,22.7009
hash,9800,44,13.7662
hash,9800,44,14.2848
hash,9800,44,14.2771
hash,9800,44,14.3136
hash,9800,44,14.2489
hash,9900,44,32.3016
hash,9900,44,14.4506
hash,9900,44,14.5035
hash,9900,44,14.4102
hash,9900,44,14.4561
hash,10000,44,14.1357
hash,10000,44,18.0043
hash,10000,44,17.9789
hash,10000,44,18.02
hash,10000,44,18.1408
dp,0,0,0.0075
dp,0,0,0.0079
dp,0,0,0.0075
dp,0,0,0.0075
dp,0,0,0.0079
dp,100,6,0.0463
dp,100,6,0.0466
dp,100,6,0.047
dp,100,6,0.0467
dp,100,6,0.0484
dp,200,7,0.66
dp,200,7,0.6573
dp,200,7,0.6994
dp,200,7,0.6651
dp,200,7,0.6556
dp,300,7,1.3823
dp,300,7,1.4028
dp,300,7,1.393
dp,300,7,1.4222
dp,300,7,1.7772
dp,400,7,7.853
dp,400,7,7.3492
